IdSensore;Tipologia;IdTipologia;UnitaMisura;DataMinimaRT;DataMinimaPubblicazione;DataMassimaRT;UTM Nord;UTM Est;Quota;idStazione;Nome;Provincia;Comune
1;Livello Idrometrico;1;cm;24/11/1987;23/03/2021;06/05/2024;5142077;604122;1125;1;Valdisotto Cepina;SO;Valdisotto
3;Livello Idrometrico;1;cm;24/11/1987;08/01/2019;06/05/2024;5133847;604242;950;3;Sondalo Le Prese;SO;Sondalo
9;Precipitazione;2;mm;24/11/1987;08/01/2019;06/05/2024;5133847;604242;950;3;Sondalo Le Prese;SO;Sondalo
12;Temperatura;3;°C;24/11/1987;08/01/2019;06/05/2024;5133847;604242;950;3;Sondalo Le Prese;SO;Sondalo
16;Livello Idrometrico;1;cm;24/03/1989;05/12/2018;06/05/2024;5113305;566873;300;9;Sondrio Ponte Eifell;SO;Sondrio
23;Precipitazione;2;mm;03/05/1988;15/12/2021;06/05/2024;5141977;619522;2180;16;VALFURVA Ghiacciaio dei Forni;SO;Valfurva
31;Temperatura;3;°C;03/05/1988;15/12/2021;06/05/2024;5141977;619522;2180;16;VALFURVA Ghiacciaio dei Forni;SO;Valfurva
41;Precipitazione;2;mm;28/10/1989;18/11/2020;06/05/2024;5130098;564213;1905;28;Chiesa in Valmalenco Alpe Entova;SO;Chiesa in Valmalenco
46;Precipitazione;2;mm;10/11/1989;28/12/2018;06/05/2024;5124452;568154;988;33;Lanzada Ganda;SO;Lanzada
48;Precipitazione;2;mm;27/10/1989;12/02/2021;06/05/2024;5122198;567188;1719;35;Caspoggio Piazzo Cavalli;SO;Caspoggio
53;Temperatura;3;°C;28/10/1989;18/11/2020;06/05/2024;5130098;564213;1905;28;Chiesa in Valmalenco Alpe Entova;SO;Chiesa in Valmalenco
56;Temperatura;3;°C;10/11/1989;28/12/2018;06/05/2024;5124452;568154;988;33;Lanzada Ganda;SO;Lanzada
