Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.294100,0.000000,0
Solver,9652.879400,24.589935,2.37364e+11
Richards Exclude 1st Time Step,9647.559900,24.602412,2.37353e+11
Solver Cleanup,0.008900,0.000000,0
Matvec,325.316500,241.201540,7.84668e+10
PFSB I/O,0.000000,0.000000,0
PFB I/O,4.612600,0.000000,0
CLM,0.011100,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,3.167200,0.000000,0
Netcdf I/O,0.000000,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.759600,0.000000,0
SubsrfSim,0.087500,0.000000,0
Porosity,0.000200,0.000000,0
PhaseRelPerm,924.685500,0.000285,263443
PFMG,977.295200,0.000000,0
HYPRE_Copies,385.832700,0.000000,0
NL_F_Eval,3365.909700,0.000038,127187
KINSol,9640.514000,24.621476,2.37364e+11
Total Runtime,9659.799000,-nan,0
