Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.084600,0.000000,0
Solver,3013.116400,31.303655,9.43216e+10
Richards Exclude 1st Time Step,3011.363900,31.318407,9.43111e+10
Solver Cleanup,0.014100,0.000000,0
Matvec,89.523800,321.616357,2.87923e+10
PFSB I/O,0.000000,0.000000,0
PFB I/O,0.289400,0.000000,0
CLM,0.007400,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,1.056600,0.000000,0
Netcdf I/O,0.000000,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.224700,0.000000,0
SubsrfSim,0.009200,0.000000,0
Porosity,0.000300,0.000000,0
PhaseRelPerm,172.256600,0.000697,120102
PFMG,285.367100,0.000000,0
HYPRE_Copies,106.532300,0.000000,0
NL_F_Eval,1041.779500,0.000062,64958
KINSol,3011.012600,31.325527,9.43216e+10
Total Runtime,3015.939600,-nan,0
