Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.444300,0.000000,0
Solver,25730.463200,7.099165,1.82665e+11
Richards Exclude 1st Time Step,25723.784700,7.100602,1.82654e+11
Solver Cleanup,0.200100,0.000000,0
Matvec,314.567400,186.970629,5.88149e+10
PFSB I/O,0.000000,0.000000,0
PFB I/O,1.947600,0.000000,0
CLM,0.009800,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,2.743000,0.000000,0
Netcdf I/O,0.000000,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.545700,0.000000,0
SubsrfSim,0.103600,0.000000,0
Porosity,0.000100,0.000000,0
PhaseRelPerm,376.921100,0.000556,209569
PFMG,6268.676900,0.000000,0
HYPRE_Copies,293.601800,0.000000,0
NL_F_Eval,1698.847700,0.000062,105921
KINSol,25711.855200,7.104302,1.82665e+11
Total Runtime,25736.146900,-nan,0
