Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.222800,0.000000,0
Solver,802.153600,2.958227,2.37295e+09
Richards Exclude 1st Time Step,797.865500,2.969666,2.36939e+09
Solver Cleanup,0.004800,0.000000,0
Matvec,18.107500,37.529646,6.79568e+08
PFSB I/O,0.000000,0.000000,0
PFB I/O,1.026400,0.000000,0
CLM,0.012200,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.874800,0.000000,0
Netcdf I/O,0.000000,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.207100,0.000000,0
SubsrfSim,0.021000,0.000000,0
Porosity,0.000100,0.000000,0
PhaseRelPerm,0.373700,0.005464,2042
PFMG,375.381700,0.000000,0
HYPRE_Copies,4.000200,0.000000,0
NL_F_Eval,4.074700,0.000123,502
KINSol,798.960700,2.970049,2.37295e+09
Total Runtime,802.495200,-nan,0
