Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.387600,0.000000,0
Solver,20689.575100,7.021626,1.45274e+11
Richards Exclude 1st Time Step,20683.296800,7.023253,1.45264e+11
Solver Cleanup,0.031000,0.000000,0
Matvec,248.707900,185.334663,4.60942e+10
PFSB I/O,0.000000,0.000000,0
PFB I/O,1.243200,0.000000,0
CLM,0.153100,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,2.608700,0.000000,0
Netcdf I/O,0.000000,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.656300,0.000000,0
SubsrfSim,0.124800,0.000000,0
Porosity,0.000100,0.000000,0
PhaseRelPerm,202.695700,0.000855,173209
PFMG,5107.077400,0.000000,0
HYPRE_Copies,230.155400,0.000000,0
NL_F_Eval,1501.209800,0.000060,90289
KINSol,20675.229200,7.026498,1.45274e+11
Total Runtime,20694.073600,-nan,0
